	gene	tss	chrom
170	ENSMUSG00000002055	78301529	11
171	ENSMUSG00000002058	78343482	11
172	ENSMUSG00000002059	78188430	11
173	ENSMUSG00000002064	78245746	11
174	ENSMUSG00000002068	38099369	7
175	ENSMUSG00000002076	32020128	17
176	ENSMUSG00000002102	91054009	2
177	ENSMUSG00000002103	91202885	2
178	ENSMUSG00000002129	4160350	11
179	ENSMUSG00000002147	127642986	10
180	ENSMUSG00000002190	83389867	8
181	ENSMUSG00000002205	44748413	7
182	ENSMUSG00000002221	27751295	5
183	ENSMUSG00000002222	71396187	6
184	ENSMUSG00000002227	104817354	3
185	ENSMUSG00000002257	28207778	17
186	ENSMUSG00000002265	6723215	7
187	ENSMUSG00000002280	25773776	17
188	ENSMUSG00000002289	33778465	17
189	ENSMUSG00000002297	8400305	5
190	ENSMUSG00000002307	33909414	17
191	ENSMUSG00000002308	33843091	17
192	ENSMUSG00000002319	55626417	14
193	ENSMUSG00000002320	55641060	14
194	ENSMUSG00000002325	55603571	14
195	ENSMUSG00000002326	55671941	14
196	ENSMUSG00000002329	55660430	14
197	ENSMUSG00000002332	55739660	14
198	ENSMUSG00000002342	70172356	8
199	ENSMUSG00000002343	70222290	8
200	ENSMUSG00000002345	70139499	8
201	ENSMUSG00000002365	5841329	17
202	ENSMUSG00000002372	56673294	17
203	ENSMUSG00000002379	56717767	17
204	ENSMUSG00000002395	71366848	8
205	ENSMUSG00000002396	71371298	8
206	ENSMUSG00000002413	39643254	6
207	ENSMUSG00000002416	39592574	6
208	ENSMUSG00000002428	20057811	3
209	ENSMUSG00000002455	181591868	2
210	ENSMUSG00000002458	181689500	2
211	ENSMUSG00000002477	10617775	18
212	ENSMUSG00000002489	89795282	16
213	ENSMUSG00000002496	24597055	17
214	ENSMUSG00000002504	24644957	17
215	ENSMUSG00000002524	76071397	15
216	ENSMUSG00000002546	32287384	2
217	ENSMUSG00000002550	32256669	2
218	ENSMUSG00000002580	98438991	11
219	ENSMUSG00000002608	25716106	7
220	ENSMUSG00000002617	23178539	17
221	ENSMUSG00000002625	32332899	17
222	ENSMUSG00000002635	34192781	7
223	ENSMUSG00000002658	57011288	17
224	ENSMUSG00000002660	56990305	17
225	ENSMUSG00000002661	56997339	17
226	ENSMUSG00000002679	81574746	12
227	ENSMUSG00000002718	166906040	2
228	ENSMUSG00000002728	145902099	2
229	ENSMUSG00000002731	76640733	2
230	ENSMUSG00000002733	76675281	2
231	ENSMUSG00000002741	5955693	11
232	ENSMUSG00000002748	135187264	5
233	ENSMUSG00000002767	46646229	17
234	ENSMUSG00000002768	46678793	17
235	ENSMUSG00000002778	45872772	7
236	ENSMUSG00000002797	54992624	6
237	ENSMUSG00000002804	112939004	12
238	ENSMUSG00000002808	19619738	13
239	ENSMUSG00000002812	60714721	11
240	ENSMUSG00000002814	60752678	11
241	ENSMUSG00000002820	21265293	9
242	ENSMUSG00000002825	21411837	9
243	ENSMUSG00000002833	56079634	17
244	ENSMUSG00000002835	56040439	17
245	ENSMUSG00000002844	38452682	16
246	ENSMUSG00000002845	38558698	16
247	ENSMUSG00000002846	38522641	16
248	ENSMUSG00000002870	88891915	6
249	ENSMUSG00000002885	83724809	8
250	ENSMUSG00000002900	31265234	12
251	ENSMUSG00000002910	70836587	8
252	ENSMUSG00000002948	4238740	8
253	ENSMUSG00000002949	4260735	8
254	ENSMUSG00000002957	141562173	7
255	ENSMUSG00000002963	44857139	7
256	ENSMUSG00000002968	44881308	7
257	ENSMUSG00000002980	19756951	7
258	ENSMUSG00000002981	19636177	7
259	ENSMUSG00000002983	19628434	7
260	ENSMUSG00000002984	19703140	7
261	ENSMUSG00000002985	19697631	7
262	ENSMUSG00000002996	31934803	12
263	ENSMUSG00000003031	134920401	6
264	ENSMUSG00000003032	55531770	4
265	ENSMUSG00000003033	72240018	8
266	ENSMUSG00000003037	72161200	8
267	ENSMUSG00000003038	133967243	4
268	ENSMUSG00000003039	72219730	8
269	ENSMUSG00000003051	135257649	1
270	ENSMUSG00000003062	19359125	13
271	ENSMUSG00000003068	80115803	10
272	ENSMUSG00000003072	80138632	10
273	ENSMUSG00000003099	17007083	7
274	ENSMUSG00000003119	98203059	11
275	ENSMUSG00000003131	45984337	9
276	ENSMUSG00000003135	39534992	1
277	ENSMUSG00000003153	122733176	6
278	ENSMUSG00000003161	8046078	5
279	ENSMUSG00000003166	17845177	16
280	ENSMUSG00000003184	44997648	7
281	ENSMUSG00000003198	55892093	17
282	ENSMUSG00000003199	56005711	17
283	ENSMUSG00000003200	56036568	17
284	ENSMUSG00000003208	55959099	17
285	ENSMUSG00000003226	58446920	10
286	ENSMUSG00000003234	20548577	16
287	ENSMUSG00000003235	20498817	16
288	ENSMUSG00000003269	45810888	7
289	ENSMUSG00000003282	3938382	4
290	ENSMUSG00000003283	153108468	2
291	ENSMUSG00000003299	21002738	9
292	ENSMUSG00000003308	21237193	9
293	ENSMUSG00000003309	21302987	9
294	ENSMUSG00000003316	111177776	8
295	ENSMUSG00000003344	80644632	10
296	ENSMUSG00000003345	80622838	10
297	ENSMUSG00000003346	80586624	10
298	ENSMUSG00000003348	80693736	10
299	ENSMUSG00000003355	98728140	15
300	ENSMUSG00000003360	98662858	15
301	ENSMUSG00000003363	27532746	7
302	ENSMUSG00000003380	24971984	7
303	ENSMUSG00000003402	22002806	9
304	ENSMUSG00000003421	45062429	7
305	ENSMUSG00000003423	45154303	7
306	ENSMUSG00000003429	45123528	7
307	ENSMUSG00000003435	28318792	7
308	ENSMUSG00000003437	28392951	7
309	ENSMUSG00000003438	28306664	7
310	ENSMUSG00000003444	28392708	7
311	ENSMUSG00000003452	149408886	6
312	ENSMUSG00000003458	172068064	1
313	ENSMUSG00000003464	172126755	1
314	ENSMUSG00000003500	29203420	6
315	ENSMUSG00000003518	101981688	11
316	ENSMUSG00000003526	18079222	16
317	ENSMUSG00000003527	17905685	16
318	ENSMUSG00000003528	17927343	16
319	ENSMUSG00000003531	18052860	16
320	ENSMUSG00000003546	46645144	17
321	ENSMUSG00000003549	19344778	7
322	ENSMUSG00000003559	46707458	19
323	ENSMUSG00000003573	70282827	8
324	ENSMUSG00000003604	112492964	2
325	ENSMUSG00000003623	8982144	5
326	ENSMUSG00000003644	133860930	4
327	ENSMUSG00000003660	127208386	2
328	ENSMUSG00000003662	127246046	2
329	ENSMUSG00000003680	8776962	19
330	ENSMUSG00000003721	121307318	1
331	ENSMUSG00000003731	129654935	4
332	ENSMUSG00000003778	34624553	18
333	ENSMUSG00000003779	34624613	18
334	ENSMUSG00000003808	84856989	8
335	ENSMUSG00000003809	84892666	8
336	ENSMUSG00000003812	84908560	8
337	ENSMUSG00000003813	84838047	8
338	ENSMUSG00000003814	84844916	8
339	ENSMUSG00000003824	84872111	8
340	ENSMUSG00000003847	107293470	8
341	ENSMUSG00000003848	107418666	8
342	ENSMUSG00000003849	107403206	8
343	ENSMUSG00000003865	45434844	7
344	ENSMUSG00000003868	45422495	7
345	ENSMUSG00000003873	45466044	7
346	ENSMUSG00000003923	71235321	10
347	ENSMUSG00000003929	33358868	17
348	ENSMUSG00000003948	90249456	11
349	ENSMUSG00000003955	36052394	16
350	ENSMUSG00000003970	76904078	15
351	ENSMUSG00000004018	26386135	11
352	ENSMUSG00000004040	100890312	11
353	ENSMUSG00000004044	100970551	11
354	ENSMUSG00000004056	27591552	7
355	ENSMUSG00000004069	4639989	16
356	ENSMUSG00000004070	4726361	16
357	ENSMUSG00000004071	4770097	16
358	ENSMUSG00000004085	72285637	2
359	ENSMUSG00000004096	14500617	9
360	ENSMUSG00000004099	20908979	9
361	ENSMUSG00000004100	20888175	9
362	ENSMUSG00000004127	138143448	3
363	ENSMUSG00000004151	38779380	12
364	ENSMUSG00000004187	76659858	15
365	ENSMUSG00000004207	60277627	10
366	ENSMUSG00000004264	124712336	6
367	ENSMUSG00000004266	124721842	6
368	ENSMUSG00000004268	124705659	6
369	ENSMUSG00000004270	124663027	6
370	ENSMUSG00000004285	29467718	6
371	ENSMUSG00000004319	60922960	8
372	ENSMUSG00000004356	88747831	10
373	ENSMUSG00000004359	88683023	10
374	ENSMUSG00000004364	80276566	1
375	ENSMUSG00000004393	6266392	11
376	ENSMUSG00000004394	6274865	11
377	ENSMUSG00000004446	120897568	6
378	ENSMUSG00000004451	119478079	1
379	ENSMUSG00000004455	122158278	5
380	ENSMUSG00000004460	22857845	16
381	ENSMUSG00000004462	22818525	16
382	ENSMUSG00000004530	113847620	5
383	ENSMUSG00000004535	52713729	6
384	ENSMUSG00000004558	51908941	14
385	ENSMUSG00000004561	51884842	14
386	ENSMUSG00000004565	3515384	8
387	ENSMUSG00000004567	3500457	8
388	ENSMUSG00000004568	3353415	8
389	ENSMUSG00000004591	142803120	3
390	ENSMUSG00000004610	43444083	7
391	ENSMUSG00000004626	3630955	8
392	ENSMUSG00000004642	33642162	5
393	ENSMUSG00000004661	57791648	9
394	ENSMUSG00000004665	79988584	10
395	ENSMUSG00000004667	80037185	10
396	ENSMUSG00000004677	71272714	8
397	ENSMUSG00000004748	4095140	11
398	ENSMUSG00000004768	33719887	1
399	ENSMUSG00000004771	64725720	9
400	ENSMUSG00000004788	85219481	12
401	ENSMUSG00000004789	85110833	12
402	ENSMUSG00000004843	65562520	16
403	ENSMUSG00000004846	136987019	5
404	ENSMUSG00000004849	137037650	5
405	ENSMUSG00000004865	28592563	17
406	ENSMUSG00000004880	181820542	1
407	ENSMUSG00000004896	87925275	3
408	ENSMUSG00000004897	87906321	3
409	ENSMUSG00000004929	81070035	10
410	ENSMUSG00000004931	81266960	10
411	ENSMUSG00000004934	81156124	10
412	ENSMUSG00000004936	64187864	9
413	ENSMUSG00000004937	81049874	10
414	ENSMUSG00000004945	5440243	17
415	ENSMUSG00000004947	135994800	5
416	ENSMUSG00000004951	135887919	5
417	ENSMUSG00000004980	51463184	6
418	ENSMUSG00000004994	84261906	8
419	ENSMUSG00000004996	84256413	8
420	ENSMUSG00000005034	146745627	3
421	ENSMUSG00000005054	78425669	10
422	ENSMUSG00000005069	124399614	6
423	ENSMUSG00000005078	72085589	12
424	ENSMUSG00000005102	118388618	2
425	ENSMUSG00000005103	38529850	5
426	ENSMUSG00000005142	85083270	8
427	ENSMUSG00000005148	99298691	14
428	ENSMUSG00000005150	85076107	8
429	ENSMUSG00000005161	84969587	8
430	ENSMUSG00000005198	69737348	11
431	ENSMUSG00000005204	69674443	11
432	ENSMUSG00000005225	54595111	6
433	ENSMUSG00000005233	69205130	2
434	ENSMUSG00000005262	18811779	16
435	ENSMUSG00000005299	33753562	5
436	ENSMUSG00000005312	58181625	13
437	ENSMUSG00000005354	77915700	15
438	ENSMUSG00000005360	8643247	15
439	ENSMUSG00000005362	106799033	6
440	ENSMUSG00000005370	87975062	17
441	ENSMUSG00000005371	88000982	17
442	ENSMUSG00000005374	135149657	5
443	ENSMUSG00000005378	135056727	5
444	ENSMUSG00000005397	13437551	13
445	ENSMUSG00000005410	75109569	8
446	ENSMUSG00000005413	75093621	8
447	ENSMUSG00000005417	59661305	11
448	ENSMUSG00000005447	25296702	7
449	ENSMUSG00000005469	83972993	8
450	ENSMUSG00000005470	83955507	8
451	ENSMUSG00000005481	83715177	8
452	ENSMUSG00000005483	83608193	8
453	ENSMUSG00000005501	87951673	1
454	ENSMUSG00000005505	90904740	2
455	ENSMUSG00000005506	90940382	2
456	ENSMUSG00000005510	90898454	2
457	ENSMUSG00000005514	135670033	5
458	ENSMUSG00000005566	12999114	7
459	ENSMUSG00000005609	111028951	7
460	ENSMUSG00000005610	111073151	7
461	ENSMUSG00000005615	32430921	16
462	ENSMUSG00000005621	80993681	7
463	ENSMUSG00000005625	95033916	3
464	ENSMUSG00000005656	54760483	12
465	ENSMUSG00000005667	83309307	6
466	ENSMUSG00000005672	75574916	5
467	ENSMUSG00000005681	171225054	1
468	ENSMUSG00000005682	128303335	10
469	ENSMUSG00000005683	128337734	10
470	ENSMUSG00000005687	103171655	3
471	ENSMUSG00000005698	105636568	8
472	ENSMUSG00000005699	105701148	8
473	ENSMUSG00000005732	18248067	16
474	ENSMUSG00000005779	94884843	3
475	ENSMUSG00000005804	122738503	2
476	ENSMUSG00000005813	138468954	3
477	ENSMUSG00000005846	11194995	16
478	ENSMUSG00000005871	34220924	18
479	ENSMUSG00000005881	156008045	2
480	ENSMUSG00000005882	155851692	2
481	ENSMUSG00000005886	13146630	1
482	ENSMUSG00000005892	92244650	6
483	ENSMUSG00000005893	92091390	6
484	ENSMUSG00000005899	17619354	16
485	ENSMUSG00000005907	3596066	5
486	ENSMUSG00000005936	28951950	17
487	ENSMUSG00000005958	21204755	16
488	ENSMUSG00000005973	105395348	2
489	ENSMUSG00000005981	4044698	16
490	ENSMUSG00000005982	3872375	16
491	ENSMUSG00000006005	150392838	1
492	ENSMUSG00000006010	150382474	1
493	ENSMUSG00000006024	16098458	7
494	ENSMUSG00000006050	36670276	18
495	ENSMUSG00000006056	96111962	11
496	ENSMUSG00000006057	96075037	11
497	ENSMUSG00000006058	96034885	11
498	ENSMUSG00000006095	30227000	7
499	ENSMUSG00000006127	75630988	11
500	ENSMUSG00000006134	17451987	16
501	ENSMUSG00000006169	45851964	11
502	ENSMUSG00000006191	29474607	13
503	ENSMUSG00000006215	141444654	4
504	ENSMUSG00000006219	141596469	4
505	ENSMUSG00000006262	88720855	5
506	ENSMUSG00000006273	69088646	8
507	ENSMUSG00000006276	72374314	8
508	ENSMUSG00000006281	50824889	14
509	ENSMUSG00000006288	50772306	14
510	ENSMUSG00000006289	50917374	14
511	ENSMUSG00000006299	74283142	1
512	ENSMUSG00000006301	74291228	1
513	ENSMUSG00000006304	74236084	1
514	ENSMUSG00000006307	30570664	7
515	ENSMUSG00000006310	30592942	7
516	ENSMUSG00000006315	30728484	7
517	ENSMUSG00000006333	3703993	7
518	ENSMUSG00000006335	3629086	7
519	ENSMUSG00000006356	113140236	12
520	ENSMUSG00000006360	113146316	12
521	ENSMUSG00000006369	85205949	15
522	ENSMUSG00000006378	79030874	15
523	ENSMUSG00000006390	118428093	4
524	ENSMUSG00000006392	118409337	4
525	ENSMUSG00000006398	118435821	4
526	ENSMUSG00000006412	171345670	1
527	ENSMUSG00000006418	167492645	2
528	ENSMUSG00000006435	47178820	19
529	ENSMUSG00000006442	148591503	4
530	ENSMUSG00000006445	141301240	4
531	ENSMUSG00000006456	4811512	19
532	ENSMUSG00000006457	4863558	19
533	ENSMUSG00000006471	25248471	2
534	ENSMUSG00000006494	71873224	2
535	ENSMUSG00000006498	79854427	10
536	ENSMUSG00000006517	122443396	8
537	ENSMUSG00000006526	30825590	14
538	ENSMUSG00000006527	30714849	14
539	ENSMUSG00000006585	122568015	8
540	ENSMUSG00000006586	13743436	4
541	ENSMUSG00000006587	122460733	8
542	ENSMUSG00000006589	122575489	8
543	ENSMUSG00000006599	46796103	7
544	ENSMUSG00000006641	31037994	5
545	ENSMUSG00000006649	30458315	7
546	ENSMUSG00000006651	30437003	7
547	ENSMUSG00000006673	108516806	9
548	ENSMUSG00000006676	108490602	9
549	ENSMUSG00000006699	137357699	4
550	ENSMUSG00000006705	31564734	17
551	ENSMUSG00000006715	24761440	13
552	ENSMUSG00000006717	24831517	13
553	ENSMUSG00000006720	21945094	13
554	ENSMUSG00000006728	127063534	10
555	ENSMUSG00000006732	127041414	10
556	ENSMUSG00000006736	127069400	10
557	ENSMUSG00000006740	6214540	18
558	ENSMUSG00000006763	46708917	7
559	ENSMUSG00000006782	100574904	11
560	ENSMUSG00000006800	166076018	2
561	ENSMUSG00000006818	13006846	17
562	ENSMUSG00000006920	101194422	11
563	ENSMUSG00000006930	100351905	11
564	ENSMUSG00000006932	120929216	9
565	ENSMUSG00000006941	120492232	9
566	ENSMUSG00000006998	20651652	16
567	ENSMUSG00000007029	35000987	17
568	ENSMUSG00000007039	35059035	17
569	ENSMUSG00000007041	35049966	17
570	ENSMUSG00000007050	34981862	17
571	ENSMUSG00000007080	110286306	5
572	ENSMUSG00000007338	6057079	19
573	ENSMUSG00000007379	103102604	3
574	ENSMUSG00000007411	111574523	12
575	ENSMUSG00000007415	3641539	5
576	ENSMUSG00000007458	122308720	6
577	ENSMUSG00000007476	30237715	2
578	ENSMUSG00000007564	20945311	17
579	ENSMUSG00000007570	28313519	17
580	ENSMUSG00000007589	55680075	14
581	ENSMUSG00000007603	56764757	17
582	ENSMUSG00000007610	71488103	8
583	ENSMUSG00000007613	47353222	4
584	ENSMUSG00000007617	93299635	13
585	ENSMUSG00000007646	87404423	11
586	ENSMUSG00000007656	75037614	9
587	ENSMUSG00000007659	152828535	2
588	ENSMUSG00000007670	57024060	17
589	ENSMUSG00000007721	70873383	8
590	ENSMUSG00000007739	22990519	11
591	ENSMUSG00000007777	51688653	11
592	ENSMUSG00000007783	44961321	7
593	ENSMUSG00000007812	145231715	5
594	ENSMUSG00000007815	108306129	9
595	ENSMUSG00000007827	118523235	6
596	ENSMUSG00000007833	45144689	7
597	ENSMUSG00000007836	58128556	13
598	ENSMUSG00000007850	50376990	11
599	ENSMUSG00000007872	136143497	4
600	ENSMUSG00000007880	133720776	4
601	ENSMUSG00000007891	142387819	7
602	ENSMUSG00000007892	61914542	9
603	ENSMUSG00000008036	16738410	7
604	ENSMUSG00000008140	44492018	7
605	ENSMUSG00000008153	124433500	6
606	ENSMUSG00000008167	85060055	8
607	ENSMUSG00000008200	90745370	2
608	ENSMUSG00000008206	4493026	8
609	ENSMUSG00000008226	73312601	2
610	ENSMUSG00000008301	56562443	18
611	ENSMUSG00000008333	143063039	2
612	ENSMUSG00000008348	125389186	5
613	ENSMUSG00000008373	3629985	7
614	ENSMUSG00000008384	27486910	7
615	ENSMUSG00000008393	8672155	16
616	ENSMUSG00000008429	25151698	9
617	ENSMUSG00000008435	4445181	7
618	ENSMUSG00000008450	105860580	8
619	ENSMUSG00000008475	152766542	1
620	ENSMUSG00000008489	91254582	4
621	ENSMUSG00000008575	82499316	4
622	ENSMUSG00000008604	88553758	3
623	ENSMUSG00000008668	33952541	17
624	ENSMUSG00000008683	118115228	7
625	ENSMUSG00000008690	89355719	15
626	ENSMUSG00000008730	103751014	3
627	ENSMUSG00000008763	100652592	3
628	ENSMUSG00000008855	102196558	11
629	ENSMUSG00000008859	17943949	13
630	ENSMUSG00000008892	22586121	8
631	ENSMUSG00000008958	95111022	3
632	ENSMUSG00000008976	84834925	16
633	ENSMUSG00000009013	115299435	5
634	ENSMUSG00000009030	37359189	2
635	ENSMUSG00000009035	79369993	15
636	ENSMUSG00000009073	4785107	11
637	ENSMUSG00000009076	4704678	11
638	ENSMUSG00000009079	5070891	11
639	ENSMUSG00000009090	4986824	11
640	ENSMUSG00000009108	108092789	3
641	ENSMUSG00000009112	120836212	6
642	ENSMUSG00000009207	74533106	2
643	ENSMUSG00000009291	77581720	10
644	ENSMUSG00000009293	77622275	10
645	ENSMUSG00000009418	135453907	1
646	ENSMUSG00000009470	98870323	13
647	ENSMUSG00000009535	68300355	18
648	ENSMUSG00000009549	118478883	2
649	ENSMUSG00000009555	32709721	2
650	ENSMUSG00000009563	32757234	2
651	ENSMUSG00000009566	32685004	2
652	ENSMUSG00000009569	13256481	16
653	ENSMUSG00000009575	103215305	15
654	ENSMUSG00000009585	79891659	15
655	ENSMUSG00000009628	33516738	8
656	ENSMUSG00000009630	33599625	8
657	ENSMUSG00000009640	117681983	4
658	ENSMUSG00000009647	59458160	10
659	ENSMUSG00000009741	113930934	9
660	ENSMUSG00000009828	78109192	9
661	ENSMUSG00000009863	140961203	4
662	ENSMUSG00000009894	59447491	11
663	ENSMUSG00000009905	106759683	1
664	ENSMUSG00000009907	106780624	1
665	ENSMUSG00000009927	44407139	9
666	ENSMUSG00000010025	61251010	11
667	ENSMUSG00000010045	107533945	9
668	ENSMUSG00000010047	107567945	9
669	ENSMUSG00000010048	107587642	9
670	ENSMUSG00000010054	107563255	9
671	ENSMUSG00000010057	107542226	9
672	ENSMUSG00000010067	107551555	9
673	ENSMUSG00000010095	8712985	19
674	ENSMUSG00000010097	8757073	19
675	ENSMUSG00000010110	8741413	19
676	ENSMUSG00000010277	78261752	11
677	ENSMUSG00000010290	43098710	1
678	ENSMUSG00000010342	87405065	11
679	ENSMUSG00000010362	101627195	11
680	ENSMUSG00000010376	55663861	14
681	ENSMUSG00000010392	76763567	11
682	ENSMUSG00000010406	54426909	14
683	ENSMUSG00000010453	36368014	1
684	ENSMUSG00000010517	109676588	4
685	ENSMUSG00000010554	74770830	11
686	ENSMUSG00000010592	50283323	17
687	ENSMUSG00000010608	83631236	12
688	ENSMUSG00000010660	119074303	9
689	ENSMUSG00000010663	10182888	19
690	ENSMUSG00000010751	143636585	7
691	ENSMUSG00000010755	143565015	7
692	ENSMUSG00000010760	143502541	7
693	ENSMUSG00000010911	103073675	2
694	ENSMUSG00000010914	103073335	2
695	ENSMUSG00000010936	110618585	8
696	ENSMUSG00000011096	44848991	7
697	ENSMUSG00000011114	37657158	9
